Medicare Advantage Monthly Capitation Rates for 2021 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $5.25.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2021 Rate,Parts A&B 3.5% Bonus 2021 Rate,Parts A&B 0% Bonus 2021 Rate,Parts A&B ESRD 2021 Rate
06100,COLORADO,CONEJOS,976.08,976.08,976.08,"7,171.87"
06110,COLORADO,COSTILLA,974.72,974.72,953.02,"7,171.87"
06120,COLORADO,CROWLEY,948.00,935.36,905.87,"7,171.87"
06130,COLORADO,CUSTER,975.46,974.27,945.50,"7,171.87"
06140,COLORADO,DELTA,"1,017.18","1,004.47",974.80,"7,171.87"
06150,COLORADO,DENVER,"1,093.11","1,065.20","1,000.08","7,171.87"
06160,COLORADO,DOLORES,"1,002.04",987.72,954.32,"7,171.87"
06170,COLORADO,DOUGLAS,"1,075.05","1,059.70","1,023.86","7,171.87"
06180,COLORADO,EAGLE,"1,156.35","1,139.00","1,098.53","7,171.87"
06190,COLORADO,ELBERT,"1,081.71","1,062.41",995.26,"7,171.87"
06200,COLORADO,EL PASO,"1,014.51","1,000.99",969.42,"7,171.87"
06210,COLORADO,FREMONT,978.16,971.50,942.80,"7,171.87"
06220,COLORADO,GARFIELD,"1,089.62","1,073.28","1,035.14","7,171.87"
06230,COLORADO,GILPIN,"1,054.47","1,039.93","1,005.99","7,171.87"
06240,COLORADO,GRAND,"1,160.60","1,143.19","1,102.57","7,171.87"
06250,COLORADO,GUNNISON,"1,015.43","1,000.93",967.08,"7,171.87"
06260,COLORADO,HINSDALE,"1,001.37",987.56,955.33,"7,171.87"
06270,COLORADO,HUERFANO,980.60,968.35,939.75,"7,171.87"
06280,COLORADO,JACKSON,"1,105.57","1,088.99","1,050.29","7,171.87"
06290,COLORADO,JEFFERSON,"1,062.08","1,034.97",971.69,"7,171.87"
06300,COLORADO,KIOWA,"1,198.88","1,180.90","1,138.94","7,171.87"
06310,COLORADO,KIT CARSON,"1,269.43","1,250.39","1,205.96","7,171.87"
06320,COLORADO,LAKE,"1,025.65","1,010.27",974.37,"7,171.87"
06330,COLORADO,LA PLATA,980.44,980.44,980.44,"7,171.87"
06340,COLORADO,LARIMER,"1,057.88","1,043.78","1,010.87","7,171.87"
06350,COLORADO,LAS ANIMAS,975.82,968.01,935.28,"7,171.87"
06360,COLORADO,LINCOLN,"1,065.01","1,049.03","1,011.76","7,171.87"
06370,COLORADO,LOGAN,"1,032.52","1,017.03",980.89,"7,171.87"
06380,COLORADO,MESA,"1,020.78","1,008.02",978.25,"7,171.87"
06390,COLORADO,MINERAL,"1,059.10","1,043.97","1,008.67","7,171.87"
06400,COLORADO,MOFFAT,"1,232.52","1,214.03","1,170.89","7,171.87"
06410,COLORADO,MONTEZUMA,979.52,979.52,979.52,"7,171.87"
06420,COLORADO,MONTROSE,"1,024.32","1,011.52",981.64,"7,171.87"
06430,COLORADO,MORGAN,"1,013.51",998.31,962.83,"7,171.87"
06440,COLORADO,OTERO,946.69,934.86,907.25,"7,171.87"
06450,COLORADO,OURAY,"1,078.82","1,064.43","1,030.87","7,171.87"
06460,COLORADO,PARK,"1,074.62","1,047.18",983.16,"7,171.87"
06470,COLORADO,PHILLIPS,"1,501.22","1,478.70","1,426.16","7,171.87"
06480,COLORADO,PITKIN,"1,473.43","1,451.33","1,399.76","7,171.87"
06490,COLORADO,PROWERS,"1,028.54","1,013.11",977.11,"7,171.87"
06500,COLORADO,PUEBLO,972.54,972.54,972.54,"7,171.87"
06510,COLORADO,RIO BLANCO,"1,461.80","1,439.87","1,388.71","7,171.87"
06520,COLORADO,RIO GRANDE,"1,009.86","1,009.86","1,003.39","7,171.87"
06530,COLORADO,ROUTT,"1,047.16","1,031.45",994.80,"7,171.87"
06540,COLORADO,SAGUACHE,976.67,976.67,954.72,"7,171.87"
06550,COLORADO,SAN JUAN,974.73,974.73,974.73,"7,171.87"
06560,COLORADO,SAN MIGUEL,989.26,975.13,942.15,"7,171.87"
06570,COLORADO,SEDGWICK,"1,099.12","1,082.63","1,044.16","7,171.87"
06580,COLORADO,SUMMIT,"1,065.38","1,050.16","1,014.65","7,171.87"
06590,COLORADO,TELLER,"1,019.01","1,005.43",973.72,"7,171.87"
06600,COLORADO,WASHINGTON,"1,062.99","1,047.05","1,009.84","7,171.87"
06610,COLORADO,WELD,"1,048.03","1,034.05","1,001.45","7,171.87"
06620,COLORADO,YUMA,"1,351.17","1,330.90","1,283.61","7,171.87"
06630,COLORADO,BROOMFIELD,"1,076.76","1,076.76","1,027.18","7,171.87"
07000,CONNECTICUT,FAIRFIELD,"1,035.67","1,020.13",983.89,"8,287.41"
07010,CONNECTICUT,HARTFORD,978.42,964.44,931.83,"8,287.41"
07020,CONNECTICUT,LITCHFIELD,"1,047.73","1,032.76",997.84,"8,287.41"
